SprintIndex,SeasonID,RaceID,EventIndex,Team,DriverID,Abbreviation,FullName,Number,Color,LapNumber,LapNumberFlow,Laptime,LaptimeClear,LaptimeMistake,LaptimeNaN,LaptimeClearPace,LaptimeDiff,PaceDiff,PaceDiffDelta,PaceDiffMean,PaceDiffValueBetterID,PaceDiffClear,PaceDiffClearDelta,PaceDiffClearMean,PaceDiffClearValueBetterID,PaceDiffTeammate,Compound,CompoundColor,TyreLife,Stint,StintVerticalLine,StintLabel,StintMeanConsistency,SafetyCarLeave,SafetyCarEnter,VirtualSafetyCarLeave,VirtualSafetyCarEnter,Overtakes,Position
0,2024,2024050,4,McLaren,4,NOR,Lando Norris,4,#FF8000,1.0,1,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,1,1.0,0,0,0.302,0,0,0,0,,7
0,2024,2024050,4,McLaren,4,NOR,Lando Norris,4,#FF8000,2.0,2,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,2,1.0,0,0,0.302,0,0,0,0,0.0,7
0,2024,2024050,4,McLaren,4,NOR,Lando Norris,4,#FF8000,3.0,3,101.267,101.267,0,0,-,-,0.873,-0.160,0.953,28.0,0.873,-0.160,0.953,28.0,1.033,M,#F0E628,3,1.0,0,0,0.302,0,0,0,0,0.0,7
0,2024,2024050,4,McLaren,4,NOR,Lando Norris,4,#FF8000,4.0,4,100.951,100.951,0,0,101.109,0.316,0.806,0.454,0.579,4.0,0.806,0.454,0.579,4.0,0.352,M,#F0E628,4,1.0,0,0,0.302,0,0,0,0,0.0,7
0,2024,2024050,4,McLaren,4,NOR,Lando Norris,4,#FF8000,5.0,5,101.63,100.964,1,0,100.957,0.679,0.172,-0.084,0.214,28.0,0.838,0.582,0.547,4.0,0.256,M,#F0E628,5,1.0,0,0,0.302,0,0,0,0,0.0,7
0,2024,2024050,4,McLaren,4,NOR,Lando Norris,4,#FF8000,6.0,6,100.976,100.976,0,0,100.97,0.654,0.934,0.761,0.553,4.0,0.934,0.761,0.553,4.0,0.173,M,#F0E628,6,1.0,0,0,0.302,0,0,0,0,0.0,7
0,2024,2024050,4,McLaren,4,NOR,Lando Norris,4,#FF8000,7.0,7,101.528,101.528,0,0,101.252,0.552,0.621,1.051,0.096,4.0,0.621,1.051,0.096,4.0,-0.43,M,#F0E628,7,1.0,0,0,0.302,0,0,0,0,0.0,7
0,2024,2024050,4,McLaren,4,NOR,Lando Norris,4,#FF8000,8.0,8,101.609,101.609,0,0,101.568,0.081,0.699,1.088,0.155,4.0,0.699,1.088,0.155,4.0,-0.389,M,#F0E628,8,1.0,0,0,0.302,0,0,0,0,0.0,7
0,2024,2024050,4,McLaren,4,NOR,Lando Norris,4,#FF8000,9.0,9,102.16,101.761,1,0,101.685,0.551,0.249,0.489,0.004,4.0,0.648,0.888,0.204,4.0,-0.24,M,#F0E628,9,1.0,0,0,0.302,0,0,0,0,0.0,7
0,2024,2024050,4,McLaren,4,NOR,Lando Norris,4,#FF8000,10.0,10,101.912,101.912,0,0,101.836,0.248,0.565,0.567,0.281,4.0,0.565,0.567,0.281,4.0,-0.002,M,#F0E628,10,1.0,0,0,0.302,0,0,0,0,0.0,7
