SprintIndex,SeasonID,RaceID,EventIndex,Team,DriverID,Abbreviation,FullName,Number,Color,LapNumber,LapNumberFlow,Laptime,LaptimeClear,LaptimeMistake,LaptimeNaN,LaptimeClearPace,LaptimeDiff,PaceDiff,PaceDiffDelta,PaceDiffMean,PaceDiffValueBetterID,PaceDiffClear,PaceDiffClearDelta,PaceDiffClearMean,PaceDiffClearValueBetterID,PaceDiffTeammate,Compound,CompoundColor,TyreLife,Stint,StintVerticalLine,StintLabel,StintMeanConsistency,SafetyCarLeave,SafetyCarEnter,VirtualSafetyCarLeave,VirtualSafetyCarEnter,Overtakes,Position
2,2024,2024011,0,Williams,24,ALB,Alexander Albon,23,#64C4FF,1.0,1,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,S,#CD3C3C,1,1.0,0,0,0.091,0,0,0,0,,11
2,2024,2024011,0,Williams,24,ALB,Alexander Albon,23,#64C4FF,2.0,2,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,S,#CD3C3C,2,1.0,0,0,0.091,0,0,0,0,0.0,11
2,2024,2024011,0,Williams,24,ALB,Alexander Albon,23,#64C4FF,3.0,3,98.507,98.507,0,0,-,-,-0.391,0.200,-0.491,24.0,-0.391,0.200,-0.491,24.0,-0.591,S,#CD3C3C,3,1.0,0,0,0.091,0,0,0,0,0.0,11
2,2024,2024011,0,Williams,24,ALB,Alexander Albon,23,#64C4FF,4.0,4,98.422,98.422,0,0,98.464,0.085,-0.388,-0.032,-0.372,27.0,-0.388,-0.032,-0.372,27.0,-0.356,S,#CD3C3C,4,1.0,0,0,0.091,0,0,0,0,0.0,11
2,2024,2024011,0,Williams,24,ALB,Alexander Albon,23,#64C4FF,5.0,5,98.509,98.509,0,0,98.465,0.087,-0.332,0.248,-0.456,24.0,-0.332,-0.023,-0.321,27.0,-0.58,S,#CD3C3C,5,1.0,0,0,0.091,0,0,0,0,0.0,11
2,2024,2024011,0,Williams,24,ALB,Alexander Albon,23,#64C4FF,6.0,6,98.575,98.575,0,0,98.542,0.066,-0.31,0.007,-0.314,24.0,-0.310,0.007,-0.314,24.0,-0.317,S,#CD3C3C,6,1.0,0,0,0.091,0,0,0,0,0.0,11
2,2024,2024011,0,Williams,24,ALB,Alexander Albon,23,#64C4FF,7.0,7,98.971,98.618,1,0,98.596,0.396,-0.589,0.493,-0.836,24.0,-0.236,0.846,-0.659,24.0,-1.082,S,#CD3C3C,7,1.0,0,0,0.091,0,0,0,0,0.0,11
2,2024,2024011,0,Williams,24,ALB,Alexander Albon,23,#64C4FF,8.0,8,98.66,98.66,0,0,98.639,0.311,-0.136,0.920,-0.596,24.0,-0.136,0.920,-0.596,24.0,-1.056,S,#CD3C3C,8,1.0,0,1,0.091,0,0,0,0,0.0,11
2,2024,2024011,0,Williams,24,ALB,Alexander Albon,23,#64C4FF,9.0,9,98.652,98.652,0,0,98.656,0.008,-0.221,0.714,-0.578,24.0,-0.221,0.714,-0.578,24.0,-0.935,S,#CD3C3C,9,1.0,0,0,0.091,0,0,0,0,0.0,11
2,2024,2024011,0,Williams,24,ALB,Alexander Albon,23,#64C4FF,10.0,10,98.952,98.744,1,0,98.698,0.300,-0.703,-,-,-,-0.494,-,-,-,,S,#CD3C3C,10,1.0,0,0,0.091,0,0,0,0,0.0,11
