SeasonID,DriverID,FullName,SprintIndex,ConsistencyNormalizedAvg,OvertakesNormalizedAvg,QualiTeammateAvg,PaceNormalizedAvg,StartNormalizedAvg,LevelNormalizedAvg,ConsistencyAvg,OvertakesSum,OvertakesAvg,OvertakesGainAvg,OvertakesLostAvg,PaceAvg,StartSum,StartAvg,StartGainAvg,StartLostAvg
2025,4,Lando Norris,2,7.36,6.84,3.75,9.20,6.23,7.09,0.374,13.0,1.625,2.00,0.38,95.069,-1.0,-0.125,0.75,0.88
2025,14,George Russell,2,8.05,5.37,7.50,7.64,7.07,7.44,0.321,1.0,0.125,0.62,0.50,95.538125,2.0,0.25,0.38,0.12
2025,19,Fernando Alonso,2,6.29,4.99,8.75,3.74,7.58,6.21,0.436,-1.0,-0.125,0.88,1.00,96.66025,6.0,0.75,1.00,0.25
2025,28,Oscar Piastri,2,7.69,6.46,6.25,9.73,6.73,7.32,0.375,9.0,1.125,1.12,0.00,94.93325,1.0,0.125,0.25,0.12
2025,2,Max Verstappen,2,7.74,4.83,10.00,8.67,6.76,7.09,0.400,1.0,0.125,1.00,0.88,95.2365,-1.0,-0.125,0.25,0.38
2025,24,Alexander Albon,2,8.21,6.50,6.25,5.66,6.48,7.63,0.331,11.0,1.375,2.25,0.88,96.1075,0.0,0.0,0.50,0.50
2025,25,Nico Hulkenberg,2,4.84,2.92,6.25,2.95,6.60,4.55,0.529,-16.0,-2.2857142857142856,0.43,2.71,96.8485,-6.0,-0.8571428571428571,0.86,1.71
2025,1,Lewis Hamilton,2,6.38,7.09,2.50,7.70,6.64,6.60,0.445,13.0,1.8571428571428572,2.57,0.71,95.5575,1.0,0.14285714285714285,0.14,0.00
2025,34,Gabriel Bortoleto,2,5.86,3.54,3.75,2.02,4.72,5.28,0.479,-12.0,-1.5,0.12,1.62,97.170375,-9.0,-1.125,0.25,1.38
2025,35,Kimi Antonelli,2,8.16,6.02,2.50,6.87,6.38,7.51,0.362,8.0,1.0,1.75,0.75,95.787875,-3.0,-0.375,0.50,0.88
2025,10,Lance Stroll,2,6.16,4.08,1.25,4.19,8.41,6.19,0.439,-9.0,-1.125,0.50,1.62,96.48425,11.0,1.375,1.62,0.25
2025,6,Charles Leclerc,2,7.11,4.86,7.50,7.94,6.80,6.58,0.438,0.0,0.0,1.00,1.00,94.59385714285715,-1.0,-0.16666666666666666,0.33,0.50
2025,17,Pierre Gasly,2,6.02,5.00,7.50,4.65,6.29,5.82,0.478,0.0,0.0,1.00,1.00,96.62742857142858,0.0,0.0,0.83,0.83
2025,30,Oliver Bearman,2,6.89,5.76,3.75,3.86,8.13,6.91,0.410,6.0,0.75,1.62,0.88,96.69525,11.0,1.375,1.38,0.00
2025,13,Esteban Ocon,2,6.17,3.82,6.25,3.45,7.53,6.00,0.457,-8.0,-1.0,0.62,1.62,96.772375,4.0,0.5,0.88,0.38
2025,9,Yuki Tsunoda,2,6.83,4.70,6.67,5.82,6.92,6.49,0.570,-1.0,-0.3333333333333333,1.00,1.33,96.02533333333334,2.0,0.6666666666666666,1.00,0.33
2025,29,Liam Lawson,2,5.93,6.12,0.00,4.38,6.25,6.02,0.673,0.0,0.0,1.67,1.67,96.53266666666667,1.0,0.3333333333333333,0.67,0.33
2025,32,Jack Doohan,2,3.56,3.40,2.50,2.64,6.52,3.96,0.594,-15.0,-1.875,0.62,2.50,98.2275,-2.0,-0.3333333333333333,0.50,0.83
2025,33,Isack Hadjar,2,6.15,5.35,6.25,5.01,5.74,5.97,0.393,0.0,0.0,1.00,1.00,96.92542857142858,-7.0,-1.0,0.29,1.29
2025,8,Carlos Sainz,2,5.01,5.20,3.75,4.62,6.72,5.35,0.446,0.0,0.0,2.00,2.00,96.92885714285714,0.0,0.0,0.71,0.71
2025,9,Yuki Tsunoda,2,7.78,5.47,0.00,5.64,6.54,7.38,0.283,2.0,0.4,1.00,0.60,96.50999999999999,-7.0,-1.4,0.80,2.20
2025,29,Liam Lawson,2,6.62,5.01,2.00,3.03,5.88,6.23,0.340,2.0,0.4,1.60,1.20,96.854,-3.0,-0.6,1.20,1.80
