Number,Abbreviation,Laptime,LapNumber,Stint,PitOutTime,PitInTime,Compound,TrackStatus,TyreLife,Position,RaceID,SafetyCarEnter,SafetyCarLeave,VirtualSafetyCarEnter,VirtualSafetyCarLeave,LaptimeDiff,LaptimeNaN,LaptimeMovingAverage,LaptimeClear,LaptimeClearPace,Pace,PaceMarker,PaceClearMarker,PaceDiff,PaceDiffClear,Consistency,ConsistencySign,ConsistencyClear,CompoundColor,LaptimeOutlier,TheOnlyValueInGroup,LaptimeMistake,MistakesLosses,PitLap,StintMeanLaptime,StintMeanConsistency,StintVerticalLine,StintLabel,LapsLeading,LaptimeSeriesActual,FullName,FirstName,LastName,Color,Overtakes,SeasonID,SprintIndex,EventIndex,EventNumber
44,HAM,,1.0,1.0,,,M,1,7,1.0,2025020,0,0,0,0,,1,,,,96.937,,,,,-,,,#F0E628,1,1.0,0,,0,96.937,0.206,0,0,1,1,Lewis Hamilton,Lewis,Hamilton,#CC1400,-,2025,0,1,2
44,HAM,,2.0,1.0,,,M,1,8,1.0,2025020,0,0,0,0,,1,,,,96.937,,,,,-,,,#F0E628,1,0.0,0,,0,96.937,0.206,0,0,1,1,Lewis Hamilton,Lewis,Hamilton,#CC1400,0.0,2025,0,1,2
44,HAM,96.151,3.0,1.0,,,M,1,9,1.0,2025020,0,0,0,0,,0,,96.151,,96.937,96.966,96.966,-0.815,-0.815,-,,,#F0E628,0,0.0,0,,0,96.937,0.206,0,0,1,1,Lewis Hamilton,Lewis,Hamilton,#CC1400,0.0,2025,0,1,2
44,HAM,96.064,4.0,1.0,,,M,1,10,1.0,2025020,0,0,0,0,0.0870000000000033,0,96.107,96.064,96.107,96.937,96.969,96.93,-0.866,-0.866,0.043,-0.043,0.043,#F0E628,0,0.0,0,,0,96.937,0.206,0,0,1,1,Lewis Hamilton,Lewis,Hamilton,#CC1400,0.0,2025,0,1,2
44,HAM,96.684,5.0,1.0,,,M,1,11,1.0,2025020,0,0,0,0,0.6200000000000045,0,96.374,96.206,96.135,96.937,97.268,97.181,-0.497,-0.975,0.549,0.549,,#F0E628,1,0.0,1,0.5487,0,96.937,0.206,0,0,1,1,Lewis Hamilton,Lewis,Hamilton,#CC1400,0.0,2025,0,1,2
44,HAM,96.349,6.0,1.0,,,M,1,12,1.0,2025020,0,0,0,0,0.3349999999999937,0,96.517,96.349,96.278,96.937,97.324,97.278,-0.929,-0.929,0.071,0.071,0.071,#F0E628,0,0.0,0,,0,96.937,0.206,0,0,1,1,Lewis Hamilton,Lewis,Hamilton,#CC1400,0.0,2025,0,1,2
44,HAM,96.617,7.0,1.0,,,M,1,13,1.0,2025020,0,0,0,0,0.2680000000000007,0,96.483,96.617,96.483,96.937,97.342,97.317,-0.7,-0.7,0.134,0.134,0.134,#F0E628,0,0.0,0,,0,96.937,0.206,0,0,1,1,Lewis Hamilton,Lewis,Hamilton,#CC1400,0.0,2025,0,1,2
44,HAM,96.003,8.0,1.0,,,M,1,14,1.0,2025020,0,0,0,0,0.6140000000000043,0,96.31,96.003,96.31,96.937,97.557,97.557,-1.554,-1.554,0.307,-0.307,0.307,#F0E628,0,0.0,0,,0,96.937,0.206,0,0,1,1,Lewis Hamilton,Lewis,Hamilton,#CC1400,0.0,2025,0,1,2
44,HAM,96.941,9.0,1.0,,,M,1,15,1.0,2025020,0,0,0,0,0.9380000000000024,0,96.472,96.438,96.22,96.937,98.052,97.892,-0.951,-1.454,0.721,0.721,,#F0E628,1,0.0,1,0.7208,0,96.937,0.206,0,0,1,1,Lewis Hamilton,Lewis,Hamilton,#CC1400,0.0,2025,0,1,2
44,HAM,96.872,10.0,1.0,,,M,1,16,1.0,2025020,0,0,0,0,0.0690000000000026,0,96.906,96.872,96.655,96.937,98.221,98.196,-1.324,-1.324,0.217,0.217,0.217,#F0E628,0,0.0,0,,0,96.937,0.206,0,0,1,1,Lewis Hamilton,Lewis,Hamilton,#CC1400,0.0,2025,0,1,2
44,HAM,96.702,11.0,1.0,,,M,1,17,1.0,2025020,0,0,0,0,0.1700000000000017,0,96.787,96.702,96.787,96.937,98.552,98.418,-1.716,-1.716,0.085,-0.085,0.085,#F0E628,0,0.0,0,,0,96.937,0.206,0,1,1,1,Lewis Hamilton,Lewis,Hamilton,#CC1400,0.0,2025,0,1,2
44,HAM,96.926,12.0,1.0,,,M,1,18,1.0,2025020,0,0,0,0,0.2240000000000037,0,96.814,96.926,96.814,96.937,98.4,98.4,-1.474,-1.474,0.112,0.112,0.112,#F0E628,0,0.0,0,,0,96.937,0.206,0,0,1,1,Lewis Hamilton,Lewis,Hamilton,#CC1400,0.0,2025,0,1,2
44,HAM,97.366,13.0,1.0,,,M,1,19,1.0,2025020,0,0,0,0,0.4399999999999977,0,97.146,97.366,97.146,96.937,98.361,98.361,-0.995,-0.995,0.22,0.22,0.22,#F0E628,0,0.0,0,,0,96.937,0.206,0,0,1,1,Lewis Hamilton,Lewis,Hamilton,#CC1400,0.0,2025,0,1,2
44,HAM,97.507,14.0,1.0,,,M,1,20,1.0,2025020,0,0,0,0,0.1410000000000053,0,97.436,97.507,97.436,96.937,98.708,98.679,-1.172,-1.172,0.071,0.071,0.071,#F0E628,0,0.0,0,,0,96.937,0.206,0,0,1,1,Lewis Hamilton,Lewis,Hamilton,#CC1400,0.0,2025,0,1,2
