SprintIndex,SeasonID,RaceID,EventIndex,Team,DriverID,Abbreviation,FullName,Number,Color,LapNumber,LapNumberFlow,Laptime,LaptimeClear,LaptimeMistake,LaptimeNaN,LaptimeClearPace,LaptimeDiff,PaceDiff,PaceDiffDelta,PaceDiffMean,PaceDiffValueBetterID,PaceDiffClear,PaceDiffClearDelta,PaceDiffClearMean,PaceDiffClearValueBetterID,PaceDiffTeammate,Compound,CompoundColor,TyreLife,Stint,StintVerticalLine,StintLabel,StintMeanConsistency,SafetyCarLeave,SafetyCarEnter,VirtualSafetyCarLeave,VirtualSafetyCarEnter,Overtakes,Position
0,2025,2025020,1,Mercedes,14,RUS,George Russell,63,#27F4D2,1.0,1,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,9,1.0,0,0,0.164,0,0,0,0,,4
0,2025,2025020,1,Mercedes,14,RUS,George Russell,63,#27F4D2,2.0,2,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,10,1.0,0,0,0.164,0,0,0,0,0.0,4
0,2025,2025020,1,Mercedes,14,RUS,George Russell,63,#27F4D2,3.0,3,96.045,96.045,0,0,-,-,0.921,0.614,0.614,14.0,0.921,0.614,0.614,14.0,0.307,M,#F0E628,11,1.0,0,0,0.164,0,0,0,0,0.0,4
0,2025,2025020,1,Mercedes,14,RUS,George Russell,63,#27F4D2,4.0,4,95.891,95.891,0,0,95.968,0.154,1.039,0.627,0.725,14.0,1.039,0.627,0.725,14.0,0.412,M,#F0E628,12,1.0,0,0,0.164,0,0,0,0,0.0,4
0,2025,2025020,1,Mercedes,14,RUS,George Russell,63,#27F4D2,5.0,5,96.394,96.126,1,0,96.008,0.503,0.787,-0.083,0.829,35.0,1.055,0.185,0.963,14.0,0.87,M,#F0E628,13,1.0,0,0,0.164,0,0,0,0,0.0,4
0,2025,2025020,1,Mercedes,14,RUS,George Russell,63,#27F4D2,6.0,6,96.361,96.361,0,0,96.244,0.033,0.917,0.498,0.668,14.0,0.917,0.150,0.842,14.0,0.419,M,#F0E628,14,1.0,0,0,0.164,0,0,0,0,0.0,4
0,2025,2025020,1,Mercedes,14,RUS,George Russell,63,#27F4D2,7.0,7,96.653,96.653,0,0,96.507,0.292,0.664,0.058,0.635,14.0,0.664,0.058,0.635,14.0,0.606,M,#F0E628,15,1.0,0,0,0.164,0,0,0,0,0.0,4
0,2025,2025020,1,Mercedes,14,RUS,George Russell,63,#27F4D2,8.0,8,96.719,96.719,0,0,96.686,0.066,0.838,0.540,0.568,14.0,0.838,0.540,0.568,14.0,0.298,M,#F0E628,16,1.0,0,0,0.164,0,0,0,0,0.0,4
0,2025,2025020,1,Mercedes,14,RUS,George Russell,63,#27F4D2,9.0,9,96.949,96.949,0,0,96.834,0.230,0.943,0.369,0.758,14.0,0.943,0.369,0.758,14.0,0.574,M,#F0E628,17,1.0,0,0,0.164,0,0,0,0,0.0,4
0,2025,2025020,1,Mercedes,14,RUS,George Russell,63,#27F4D2,10.0,10,97.323,97.323,0,0,97.136,0.374,0.873,0.422,0.662,14.0,0.873,0.422,0.662,14.0,0.451,M,#F0E628,18,1.0,0,0,0.164,0,0,0,0,0.0,4
