SeasonID,DriverID,FullName,SprintIndex,ConsistencyNormalizedAvg,OvertakesNormalizedAvg,QualiTeammateAvg,PaceNormalizedAvg,StartNormalizedAvg,LevelNormalizedAvg,ConsistencyAvg,OvertakesSum,OvertakesAvg,OvertakesGainAvg,OvertakesLostAvg,PaceAvg,StartSum,StartAvg,StartGainAvg,StartLostAvg,PaceStrAvg
Все сезоны,3.0,Valtteri Bottas,1.0,5.99,4.74,6.16,4.40,4.63,5.34,0.367,-28.0,-1.2869220151828848,1.72,3.00,90.08148055827974,-24.5,-1.0998376623376624,0.51,1.59,01:30.081
Все сезоны,2.0,Max Verstappen,1.0,8.98,6.59,8.99,9.46,6.28,7.71,0.227,33.25,1.5327907218639483,1.92,0.39,88.94848759621385,6.5,0.2935606060606061,0.56,0.24,01:28.948
Все сезоны,1.0,Lewis Hamilton,1.0,7.11,6.58,5.18,7.98,6.19,6.75,0.314,31.5,1.4924242424242427,2.74,1.24,89.13197316017316,5.0,0.21374458874458874,0.59,0.43,01:29.132
Все сезоны,4.0,Lando Norris,1.0,7.85,6.30,7.77,7.05,5.50,6.88,0.278,20.0,0.949215367965368,2.26,1.31,89.71715275974026,-8.75,-0.38541666666666663,0.34,0.71,01:29.717
Все сезоны,6.0,Charles Leclerc,1.0,7.73,6.05,6.45,7.77,6.49,7.00,0.287,13.25,0.6528508771929824,2.04,1.39,89.71939024122807,11.25,0.5104166666666667,0.70,0.16,01:29.719
Все сезоны,5.0,Sergio Perez,1.0,7.41,6.91,1.01,7.92,6.05,6.94,0.303,42.0,2.0704545454545453,3.18,1.11,89.9643961124402,2.0,0.09523809523809523,0.63,0.52,01:29.964
Все сезоны,7.0,Daniel Ricciardo,1.0,6.14,5.09,2.93,4.69,5.51,5.72,0.334,-8.5,-0.7941176470588235,1.73,2.52,91.22163795518208,-7.75,-0.6851604278074865,0.65,1.33,01:31.222
Все сезоны,13.0,Esteban Ocon,1.0,7.14,5.30,4.71,4.61,6.13,6.43,0.308,-4.25,-0.2023809523809524,2.34,2.54,90.21771240601504,2.5,0.1158008658008658,0.70,0.55,01:30.218
Все сезоны,8.0,Carlos Sainz,1.0,7.75,6.04,3.59,7.58,5.56,6.77,0.286,20.25,1.0417427840701499,2.39,1.35,89.17715942028985,-5.5,-0.25616647844908713,0.45,0.65,01:29.177
Все сезоны,14.0,George Russell,1.0,7.67,5.73,6.52,6.57,5.60,6.67,0.301,11.0,0.42906746031746035,2.04,1.62,89.94473611111111,-2.0,-0.09172077922077922,0.68,0.74,01:29.945
